motif_id,num_instances,avg_distance,total_points,Ore_mean,Ore_std,Ore_min,Ore_max,WaterMill_mean,WaterMill_std,WaterMill_min,WaterMill_max,WaterZumpf_mean,WaterZumpf_std,WaterZumpf_min,WaterZumpf_max,DensityHC_mean,DensityHC_std,DensityHC_min,DensityHC_max
1,2,0.0,120,169.672,0.0,169.672,169.672,15.793200000000006,5.329070518200751e-15,15.7932,15.7932,226.2640000000001,8.526512829121202e-14,226.264,226.264,,,,
2,18,2.551860019944171,1080,175.89494595711363,3.2102565573615363,167.86499999999998,180.448,15.947874780491587,0.8221304041075334,13.482886230442766,16.73841730802718,209.99633982804804,19.497985860555534,139.79111562661973,239.28129269841267,,,,
3,14,3.162097577266007,840,176.527091931129,3.165871615079143,166.501095877193,180.34096571428572,15.817556997820791,0.9855736489031195,13.253504716633055,16.738250007517294,220.8857639166792,17.649635558277968,141.03408853862368,239.75336174603174,,,,
4,8,3.0335273990183182,480,175.73863325343584,4.89144901072482,168.11798055555556,184.0134205128205,16.05413677507972,0.6562776131381362,13.585057142458064,17.04291810641964,217.08624714481908,29.751021349449406,139.3079013465482,241.56925185185185,,,,
5,7,2.971330447625944,420,176.93857810186205,3.5986503522421263,168.13038535353536,182.03634388866035,16.129727177643513,0.5623056491975305,14.198652627744536,16.938503731917034,189.28080882898772,28.46242212128472,133.1847345882253,236.39397793650792,,,,
6,4,3.2255034876417543,240,177.6591630230793,2.583250561325943,172.14352,179.9565022222222,14.982704156238334,1.428000967768304,13.217869011107217,16.50688415786512,218.7241469399736,13.816239980842655,204.7893261111111,235.18522298941798,,,,
7,3,2.607860656523273,180,178.0185530047274,1.5936775972275534,175.65,180.42801073593077,15.570035096097804,1.2552625245125086,13.601794485533816,16.73407308535694,202.17145052132724,14.596587552789808,178.87672385521884,218.90180221860984,,,,
8,1,5.681896688508004,60,177.13700000000003,1.759699408031822e-14,177.137,177.13700000000003,14.227353354596115,0.03895999864232534,14.184128596740031,14.30488193769217,223.99519198838198,0.18747563010205853,223.6538934199134,224.39552116402118,,,,
9,5,3.0519610788711184,300,175.83902221619454,11.398365234791267,116.25025702861953,180.29910476190474,16.316705036693886,0.4710501548795243,13.712893802901734,16.67143507466302,219.0852889767887,16.082619647037838,164.83070077992812,237.79966682539683,,,,
10,4,3.7386539821855873,240,182.53270994889013,2.5138618326115223,179.80418736842103,185.35409735449736,16.827241595396593,0.33569523810627744,16.330420936392112,17.216811148103137,198.8214075443583,31.088288774277256,151.6733927492488,234.2462344636845,,,,
11,1,3.1064543341310944e-06,60,169.88025314840556,0.07411426570025831,169.7313471436776,169.99379777777776,15.711215812681711,0.015251009114779767,15.687404159640948,15.738882103727997,224.74042106862274,1.2695720633013046,222.86136250601248,225.93200065416065,,,,
12,3,2.663143948360753,180,179.7722620124402,3.554218385611918,175.01950222222226,185.00028306138304,16.636766421548142,0.32246518364845245,16.112199295748354,17.147154006162804,173.8130644365547,30.726942131860497,127.76009152625153,210.3180362073112,,,,
13,1,0.0,60,176.81566677103996,11.677930775660704,117.71333182503771,180.2927194638695,16.534630262026813,0.35695897350673167,14.619432432399883,16.706837565886655,210.14967320845142,0.13485901422347765,209.84586072390573,210.44603887452416,,,,
14,1,0.0,60,177.04640140151517,0.12865334081120844,176.8688222222222,177.35314444444444,16.348002540746105,0.03711112028218279,16.280787337430862,16.40486650855127,213.86468262779894,1.5828500021605467,210.39696493589742,215.34485999287747,,,,
15,1,8.97787233078007e-06,60,168.06476963087832,0.14066033576778011,167.80746837606836,168.34275,15.520681712855955,0.018640042848029018,15.485784501906192,15.561547431591807,181.70107753961162,5.934243122463457,173.4175361172161,188.88854722222223,,,,
16,3,2.5524309244188523,180,177.0486007208174,2.1634172292842564,174.76485925925925,180.36031936507936,16.163801712633322,0.19605013939838747,15.829999939416426,16.372190865740542,217.18345923843444,30.71971153176879,163.7997402641803,240.7814031746032,,,,
17,5,4.901334421422925,300,175.51968374381642,3.9972023332308564,170.00368432695618,180.1980974025974,15.568199541468081,0.8607798355179773,13.880350570424381,16.428245990660326,208.9791927994835,35.60110304161932,130.69378794770043,238.06598722222222,,,,
18,1,8.024520884654677e-07,60,176.81306558767156,0.17042443431782167,176.59999999999997,177.15265185185183,14.283394190756306,0.04233778535242796,14.20413320291376,14.352274760737584,224.06062005419582,0.1267859653340728,223.76943769841267,224.30768053391054,,,,
19,1,0.0,60,177.9890533756613,0.15199741616354928,177.74586611111107,178.33310277777775,16.498379535761863,0.024152039533114338,16.452773010160765,16.537668814357154,229.93672969356257,0.11313006413620039,229.68155555555555,230.15766722222222,,,,
20,1,5.120451830605157e-06,60,179.76611786856662,0.158997557749197,179.56217314814813,180.2891378787879,16.350634636299908,0.019193052249280987,16.310252766382174,16.38320253875003,240.41747520238093,0.6336420287149765,239.31648388888888,241.30847555555556,,,,
21,9,2.4412767075873,540,175.22034060239443,2.572417213954245,167.86499999999998,179.03170232434235,15.593669419877113,0.9986705511504813,13.482886230442766,16.44285839028992,215.7535015769868,10.373736632451644,199.756451984127,239.28129269841267,1680.1372732317914,32.026494498872474,1637.7957334489533,1747.058734134199
22,3,2.3003373975714285,180,174.1498036391955,3.3859393243047915,169.62015384615387,180.2525299145299,16.055167433359884,0.28195295081460503,15.707542658936013,16.592601523806326,233.0803023640118,5.741050538749855,225.93044790764787,241.43342857142858,1668.65192232781,7.370905311920287,1655.5278765666699,1678.2280922468135
23,4,2.554090724056623,240,177.19630561423222,2.1721029605708524,171.84044882154882,180.146,15.282345191341342,1.221763191784172,13.253504716633055,16.4478238035677,222.10621365649862,16.116329513395158,199.89950271765272,239.25493666666668,1711.0156675373858,44.60782736781814,1657.6796694600062,1764.4165298460478
24,4,2.9874167485920005,240,177.31462392211918,2.5223429897900522,172.14352,180.29624761904762,14.652943199519841,1.3128155252868063,13.217869011107217,16.690708546461547,205.76063639559936,12.417103430185186,187.2935273005698,224.29119541125542,1685.475518964038,24.80939079442953,1643.6978771929823,1723.0061128327063
25,3,2.9757520916150226,180,178.00447475443795,2.23383442349196,174.76770634920635,180.44926051282053,16.264376625961077,0.07298584919535324,16.12507551243922,16.42531132594385,235.2452528445937,1.5305788689269253,232.96701555555555,237.20354444444445,1680.4057415705076,3.772554472019599,1673.1186221104042,1688.6675044815208
26,2,1.8173058436870968,120,176.9692853411694,1.2952209258709577,173.83401333333333,178.09913333333333,16.339356267291386,0.10464538382071996,16.03989050709647,16.4547861197268,217.66852244360732,1.9399413595103887,215.4549099206349,220.10454878306876,1702.6408686523148,18.62315069124635,1681.7116748378191,1728.330110362044
